BRICsat (NO-83);40655;28.120/145.825;437.975/435.350;;9600bps FSK PSK31;BRCSAT;active
BRITE-PL;39431;;437.365/2234.400;145.890 ;32Kbps-256Kbps;;active
BugSat-1;40014;;437.445 ;;9600bps GMSK;LU7AA;active
CAERUS;;;437.600 ;437.600 ;1200bps AFSK;KJ6FIX-1;
CANX-1;27847;;437.880 ;;1200bps AFSK;VA3SFL;inactive
CANX-2;32790;;437.478 ;;GMSK;VA3SFL;active
CANX-2;32790;;2200.000 ;;32Kbps-256Kbps BPSK;VA3SFL;active
CanX-4;40055;;145.890/2234.400;437.365 ;32Kbps-256Kbps BPSK;;
CanX-5;40056;;145.890/2234.400;437.365 ;32Kbps-256Kbps BPSK;;
CAPE-1;31130;;435.245 ;435.248 ;1200bps AFSK;K5USL;inactive
CAPE-2 (LO-75);39382;145.825 ;145.822/437.325;145.825 ;1200bps AFSK CW Voice;W5UL-15;reentered
CAS-3A (XW-2A);40903;435.030-435.050;145.685-145.665;145.640/145.660;9k6/19k2 GMSK CW;BJ1SB;active
CAS-3B (XW-2B);40911;435.090-435.110;145.750-145.730;145.705/145.725;9k6/19k2 GMSK CW;BJ1SC;active
CAS-3C (XW-2C);40906;435.150-435.170;145.815-145.795;145.770/145.790;9k6/19k2 GMSK CW;BJ1SD;active
CAS-3D (XW-2D);40907;435.210-435.230;145.880-145.860;145.835/145.855;9k6/19k2 GMSK CW;BJ1SE;active
CAS-3E (XW-2E);40909;435.270-435.290;145.935-145.915;145.890/145.910;9k6 GMSK CW;BJ1SF;inactive
CAS-3F (XW-2F);40910;435.330-435.350;146.000-146.980;145.955/145.975;9k6 GMSK CW;BJ1SG;active
CAS-3G (DCBB KAITUO-1B);40912;;145.475/437.950;;9k6 GMSK;BJ1SH;active
CAS-3H (LilacSat-2);40908;144.350/144.390;437.225/144.390;437.200;1k2/4k8/9k6 AFSK GFSK;BJ1SI;active
CAS-3I (NUDT-Phone-Sat);40900;;437.300;;9k6 GFSK;BJ1SJ;active
ChargerSat-1;39405;;437.405 ;;9600bps FSK;;inactive
Chasqui-1;40117;;437.025 ;;1k2AFSK 9k6GMSK;;inactive
ChubuSat-1;;145.980 ;437.485 ;437.485 ;1200bps 9600bps CW;JJ2YJY;active
ChubuSat-2;;145.840 ;437.100 ;;1k2 AFSK 9k6 GMSK;;
ChubuSat-3;;145.840 ;437.425 ;;1k2 AFSK 9k6 GMSK;;
CO-55 (CUTE-I);27844;;437.470 ;436.838 ;1200bps AFSK;JQ1YCY;active
CO-56 (CUTE1.7);28941;;437.505 ;437.382 ;1200bps AFSK;JQ1YPC;reentered
CO-56 (CUTE1.7);28941;1268.500 ;437.505 ;437.382 ;9600bps GMSK;;reentered
CO-57 (XI-IV);27848;;437.490 ;436.848 ;1200bps AFSK CW;JQ1YCW;active
CO-58 (XI-V);28895;;437.345 ;437.465 ;1200bps AFSK CW;JQ1YGW;active
CO-65 (CUTE1.7+APDII);32785;;437.475 ;437.275 ;1200bps AFSK CW;JQ1YTC;active
CO-65 (CUTE1.7+APDII);32785;1267.600 ;437.475 ;;9600bps GMSK;JQ1YTC;inactive
CO-66 (SEEDS-II);32791;;437.485 ;437.485 ;1k2AFSK CW DigiTalker;JQ1YGU;active
COMPASS-1;32787;;437.405 ;437.275 ;1200bps AFSK CW;DP0COM;inactive
COPPER;39395;;2403.000-2403.400;437.290 ;9600bps FSK;;inactive
CP5;38763;;437.405 ;437.405 ;1200bps AFSK;CP5;inactive
CP-6;35003;;437.365 ;437.365 ;1200bps AFSK CW;N6CP;inactive
CSSWE;38761;;437.349 ;437.349 ;9600bps GMSK;CSSWE7;inactive
CSTB-1;31133;;400.038 ;;1200bps AFSK;;inactive
CubeBug-1;39153;;437.445 ;437.438 ;1200bps AFSK;CUBEB1;active
CubeBug-2 (LO-74);39440;;437.445 ;;1k2AFSK 9k6FSK;CUBEB2-6;active
CUNYSAT-1;39470;;437.505 ;437.505 ;9600bps GMSK CW;;inactive
CUSat-1;39266;;437.405 ;437.405 ;1200bps AFSK;BOTTOM;active
CUSat-2;39271;;437.485 ;437.485 ;1200bps AFSK;WG2XTI;inactive
CXBN;38762;;437.525 ;437.525 ;9600bps GFSK;;inactive
DANDE;39267;;436.750 ;436.750 ;9600bps GMSK;DANDE-2;active
Delfi-n3Xt;39428;;145.870/145.930;2405.000 ;2400bps BPSK MSK;;inactive
Delfi-n3Xt;39428;435.530-435.570;145.880-145.920;;Transponder;;inactive
DeorbitSail;40719;;145.975 ;;1200bps BPSK;DOS;active
DO-17 (DOVE);20440;;145.825 ;2401.220 ;1200bps AFSK;DOVE-1;inactive
DO-64 (DELFI-C3);32789;;145.870 ;145.867 ;1200bps BPSK;DLFIC3;active
DO-64 (DELFI-C3);32789;435.530-435.570;145.920-145.880;145.930 ;SSB CW;DLFIC3;inactive
Dove-1/2;39144;;145.825 ;2420.000 ;1200bps AFSK;;reentered
Dove-3;39429;;;;;(non-amateur);
Dove-4;39434;;;;;(non-amateur);
DRAGONSat (AggieSat-2);35690;;436.250 ;436.250 ;19200bps FSK;;reentered
DRAGONSat (BEVO-1);35690;;437.325 ;437.325 ;9600bps FSK;;reentered
DragonSat-1;39383;;145.870 ;;9600bps FSK;;inactive
DTUSAT;27842;;;437.475 ;2400bps AFSK;OZ2DTU;inactive
DTUsat-2;40030;1268.900 ;2401.835 ;2401.843 ;9k6CPFSK/1k2 19k2 38k4MSK CW;OZ2DTU;active
DUCHIFAT;40021;435.220 ;145.825/145.980;145.980 ;1200bps AFSK BPSK CW;4X4HSL;active
DX-1;40071;144.975-145.025;434.975-435.025;438.225 ;9600bps GFSK;DAURIA;active
E1P (Explorer-1 Prime);;437.305 ;437.505 ;;1200bps AFSK;;failure
E1P-U2;37855;;437.505 ;437.502 ;1200bps BPSK;;active
Eagle-1 (BeakerSat-1);39437;;437.465 ;;9600bps GFSK;;inactive
Eagle-2 ($50SAT MO-76);39436;;437.505 ;437.505 ;9600bps GFSK RTTY CW;;active
EDSN 1-8;;;2401.200-2431.200;437.100 ;1200bps AFSK;;failure
e-st@r;38079;;437.445 ;437.445 ;1200bps AFSK;E-STAR-I;inactive
E-Star-2;;;437.485 ;;1200bps AFSK;;inactive
EstCube-1;39161;;437.505/2401.250;437.254 ;9600bps GMSK CW;ES5E-11 ES5E/S;active
ESTELLE;;;U S-band 5.8GHz;;1Mbps-10Mbps GFSK BPSK;;
ExoCube;40380;;437.270 ;437.270 ;9600bps FSK CW;KK6HGC XO3;active
F-1;38855;;145.980 ;437.485 ;1200bps FM AFSK CW;XV1VN;reentered
FIREBIRD-U1;39463;;437.405 ;;19200bps FSK;K7MSU;active
FIREBIRD-U2;39464;;437.230 ;;19200bps FSK;K7MSU;inactive
FIREBIRD-II FU3;40377;;437.397/437.405;;19200bps FSK;K7MSU;active
FIREBIRD-II FU4;40378;;437.219/437.230;;19200bps FSK;K7MSU;active
First-MOVE;39439;435.520 ;145.970 ;145.970 ;1200bps BPSK CW;MOVE1;active
FITSAT-1;38853;;437.445/5.84GHz;437.250 ;1200bps/115.2Kbps;JG6YEW;reentered
FO-12 (JAS-1);16909;145.900-146.000;435.900-435.800;435.795 ;SSB CW;;inactive
FO-12 (JAS-1);16909;145.85/87/89/91;435.910 ;;1200bps JAS;8J1JAS;inactive
FO-20 (JAS-1b);20480;145.900-146.000;435.900-435.800;435.795 ;SSB CW;;inactive
FO-20 (JAS-1b);20480;145.85/87/89/91;435.910 ;;1200bps JAS;8J1JBS;inactive
FO-29 (JAS-2);24278;145.900-146.000;435.900-435.800;435.795 ;SSB CW (DigiTalker);;active
FO-29 (JAS-2);24278;145.85/87/89/91;435.910 ;;1200bps JAS;8J1JCS;inactive
FO-69 (FASTRAC-1);37227;145.825 ;437.345 ;437.342 ;1200bps AFSK;FAST1;inactive
FO-69 (FASTRAC-1);37227;145.980 ;437.345 ;437.342 ;9600bps FSK;FAST1;inactive
FO-70 (FASTRAC-2);37380;435.025 ;145.825 ;145.825 ;1200bps AFSK;FAST2;inactive
FO-70 (FASTRAC-2);37380;437.345 ;145.825 ;145.825 ;9600bps FSK;FAST2;inactive
Fox-1A (AO-85);40967;435.185 ;145.979 ;145.979 ;FM CTCSS 67.0Hz/200bps DUV/9k6 FSK;;active
Fox-1B;;435.250 ;145.960 ;;FM CTCSS 67.0Hz;;
Fox-1C;;435.300/1267.300;145.920 ;;FM CTCSS 67.0Hz;;
Fox-1D;;435.350/1267.350;145.880 ;;FM CTCSS 67.0Hz;;
FUNcube-1 (AO-73);39444;435.130-435.150;145.970-145.950;;Inverting;;active
FUNcube-1 (AO-73);39444;;145.935 ;;1200bps BPSK;;active
FUNcube-2;40074;435.060-435.080;145.950-145.930;;Transponder;;
FUNcube-2;40074;;;145.915 ;1200bps BPSK;;active
Galassia;41170;436.400 ;144.200/145.000;145.800 ;9600bps GMSK;;
GeneSat-1;29655;;437.065/437.100;437.065 ;1200bps AFSK;KE7EGC;reentered
GO-32 (TechSat);25397;145.850/145.930;435.225 ;435.325 ;9600bps FSK;4XTECH-11 -12;active
Goliat;38080;;437.485 ;437.485 ;1200bps AFSK CW;YO7MJF;inactive
GOMX-1;39430;;437.250 ;;1k2/2k4/4k8/9k6 GMSK;;active
GOMX-2;;;437.250 ;;9600bps MSK;;failure
GomX-3;40949;;437.250 ;;9600bps GMSK;;active
GRAHAM (PhoneSat1);39142;;2401.200-2431.200;437.425 ;1200bps AFSK;KJ6KRW-2;reentered
GRIFEX;40379;;437.480 ;;9600bps GMSK;KD8SPS;active
HAUSAT-1;;;437.465 ;437.465 ;1200bps AFSK;D90HP;failure
HawaiiSat1 (HiakaSat1);;;145.9805 ;437.2705 ;9600bps GFSK;;failure
HawkSat-1;35004;;437.345 ;437.345 ;1200bps AFSK;;inactive
Hermes;;;437.425 ;;1200bps AFSK;;failure
HiNCube;39445;;437.305 ;;;;inactive
HO-59 (HITSAT);29484;145.980 ;437.425 ;437.275 ;1200bps AFSK;JR8YJT;reentered
HO-68 (XW-1);36122;145.925-145.975;435.765-435.715;435.790 ;SSB inverting CW;BJ1SA-11 -12;inactive
HO-68 (XW-1);36122;145.825 ;435.675 ;435.790 ;FM_tone67Hz CW_only;BJ1SA-11 -12;active
Ho'oponopono-2;39403;;427.220 ;;9600bps FSK GMSK;;inactive
Hodoyoshi-1;;;467.674 ;;1000bps Unknown;(non-amateur);
Horyu-2;38340;;437.375 ;437.375 ;1200bps FSK CW;JG6YBW;active
HORYU-4;;;437.375/2400.300;437.375 ;1k2 AFSK 9k6 GMSK S-BPSK CW;;
Humsat-D;39433;;437.325/437.525;437.325 ;CW;;inactive
ICEcube1;;;437.305 ;;9600bps FSK;W2CXM;failure
ICEcube2;;;437.425 ;;9600bps FSK;N2VR;failure
ICUBE-1;39432;435.060 ;145.947 ;;1200bps BPSK/FM-DSB_Transponder;;inactive
IiNUSat;;145.950 ;436.915 ;;1k2 9k6 2FSK;;
IO-26 (ITAMSAT);22826;145.875-145.950;435.822/435.867;435.791 ;1200bps JAS;ITMSAT-11 -12;active
ION;;;437.505 ;437.505 ;1200bps AFSK;;failure
IPEX;39471;;437.270 ;437.270 ;9600bps GMSK CW;KJ6KSL-1;inactive
ISS;25544;145.825 ;145.825 ;145.825 ;1200bps AFSK;RS0ISS;active
ISS;25544;145.990 ;145.800 ;145.800 ;1200bps AFSK;RS0ISS-3;inactive
ISS;25544;437.550 ;437.550 ;437.550 ;1200bps AFSK;RS0ISS-4  -11;inactive
ISS;25544;145.200 ;145.800 ;;Voice(Reg 1);NA1SS;inactive
ISS;25544;144.490 ;145.800 ;;Voice(Reg 2 3);NA1SS;inactive
ITASAT-1;;;145.860/2400.150;;1200bps BPSK;;
ITF-1;39573;;;437.525 ;CW;JQ1ZLO;reentered
ITU-pSat1;35935;;437.325 ;437.325 ;19200bps GFSK CW;;active
Jugnu;37839;;437.505 ;437.276 ;CW;;active
KAGAYAKI;33495;;437.375 ;437.375 ;9600bps FSK CW;;inactive
KickSat;39685;;2401.000-2436.200;437.505 ;1200bps AFSK;KD2BHC;reentered
KKS-1 (KISEKI);33499;;437.445 ;437.385 ;1200bps AFSK CW;JQ1YYY;active
KO-23 (KITSAT-A);22077;145.900/145.850;435.175 ;435.175 ;9600bps FSK;HL01-11 -12;inactive
KO-25 (KITSAT-B);22828;145.980/145.870;436.500 ;436.500 ;9600bps FSK;HL02-11  -12;inactive
KSAT2;39578;;S Ku-band;;200Kbps 1Mbps G1D;(non-amateur);
KUTESat Pathfinder;;;437.385 ;;1200bps AFSK;KC0RMW;failure
KySat-1;;145.850 ;436.790 ;;1200bps AFSK;;failure
KySat-2;39384;;437.405 ;437.402 ;9600bps FSK;KK4AJJ;inactive
Lambda-Sat;;;437.462 ;;1200bps AFSK;;inactive
LAPAN-A2/ORARI (IO-86);40931;435.880/145.825;145.880/145.825;437.425 ;FM APRS;;active
LARES;38077;;;;;(non-amateur);
LIBERTAD-1;31129;;437.405 ;437.399 ;1200bps AFSK;5K3L;inactive
LightSail-A;40661;;437.435 ;;9600bps FSK;KK6HIT-1;active
LitSat-1;39568;435.135-435.165;145.965-145.935;;SSB;;reentered
LitSat-1;39568;435.550 ;145.845 ;435.138 ;9600bps FSK CW;LY1LS;reentered
LituanicaSAT-1 (LO-78);39569;145.950 ;435.176 ;;FM_tone 67.0Hz;;reentered
LituanicaSAT-1 (LO-78);39569;145.850 ;437.543 ;437.275 ;9600bps FSK CW;LY5N;reentered
LO-19 (LUSAT);20442;145.840-145.900;437.125/437.150;437.125 ;CW carrier;LUSAT-11  -12;active
LQSat;40958;;437.650/2404.035;437.650;4k8 MSK/1Mbps QPSK CW;;active
MaSat-1 (MO-72);38081;;437.345 ;437.345 ;625/1250bps 2GFSK CW;HA5MASAT;reentered
MAST;31126;;2400.000-2483.500;;FHSS;;inactive
M-Cubed;37855;;437.485 ;437.485 ;9600bps GMSK;;active
MCubed-2;39469;;437.485 ;437.479 ;9600bps GMSK;NOCALL;active
Mea Huaka'i Voyager;;;437.405/5.840GHz;;1200bps AFSK;;failure
MEROPE;;;145.980 ;;1200bps AFSK;K7MSU-1;failure
METEOR-M1;35865;;137.100/137.900;;72Kbps QPSK;(weather sat);
METEOR-M2;40069;;137.100/137.900;;72Kbps QPSK;(weather sat);
MIR;16609;145.985 ;145.985 ;145.985 ;Packet;R0MIR-1;reentered
MO-46 (TiungSat);26548;145.850/145.925;437.325 ;437.325 ;38400bps FSK;MYSAT3-11 -12;inactive
myPocketQub;;;437.425-437.525;;;;
NanoSail-D2;37361;;;437.270 ;1200bps AFSK;KE7EGC;reentered
NanosatC-Br1;40024;435.xxx;145.865 ;145.865 ;1200bps BPSK CW;NCBR1;active
Nayif-1;;435.015-435.045;145.990-145.960;145.940;1200bps BPSK;;
nCUBE-1;;;437.305 ;;9600bps GMSK;LA1CUB;failure
NCUBE2;28897;;;437.305 ;9600bps FSK;LA1CUB;inactive
NEE-01 Pegaso;39151;;910.000(bandwidth 25MHz);;AMTV-CW SSTV;(non-amateur);
NEE-02 Krysaor;39441;;980.000(bandwidth 25MHz);;;(non-amateur);
Negai*""";36575;;437.305 ;437.305 ;1200bps AFSK CW;JQ1ZEX;reentered
NMARS;29662;148.975 ;27.965 ;;1200bps FM USB;;reentered
NO-44 (PCsat1);26931;145.827 ;145.827 ;145.827 ;1200bps AFSK;(A) W3ADO-1;active
NO-44 (PCsat1);26931;435.250 ;145.827 ;145.827 ;9600bps FSK;(A) PCSAT-1;active
